"Device: USB-1608FS"
"Serial Number: 7844"
"Channel Count: 2"
"Sample Count: 5750"
"Start Time: 10/24/2019 10:47:22.874 AM"
"Scan Rate: 1000"
"Sample","Date/Time","AI0 (V)","Torr (V)"
"0","10/24/2019 10:47:22.874 AM","-0.622","2.265"
"1","10/24/2019 10:47:22.875 AM","-0.622","2.264"
"2","10/24/2019 10:47:22.876 AM","-0.622","2.264"
"3","10/24/2019 10:47:22.877 AM","-0.622","2.264"
"4","10/24/2019 10:47:22.878 AM","-0.623","2.263"
"5","10/24/2019 10:47:22.879 AM","-0.622","2.264"
"6","10/24/2019 10:47:22.880 AM","-0.622","2.263"
"7","10/24/2019 10:47:22.881 AM","-0.622","2.263"
"8","10/24/2019 10:47:22.882 AM","-0.623","2.263"
"9","10/24/2019 10:47:22.883 AM","-0.622","2.263"
"10","10/24/2019 10:47:22.884 AM","-0.623","2.263"
"11","10/24/2019 10:47:22.885 AM","-0.623","2.263"
"12","10/24/2019 10:47:22.886 AM","-0.623","2.263"
"13","10/24/2019 10:47:22.887 AM","-0.623","2.263"
"14","10/24/2019 10:47:22.888 AM","-0.624","2.263"
"15","10/24/2019 10:47:22.889 AM","-0.623","2.263"
"16","10/24/2019 10:47:22.890 AM","-0.624","2.263"
"17","10/24/2019 10:47:22.891 AM","-0.625","2.263"
"18","10/24/2019 10:47:22.892 AM","-0.625","2.263"
"19","10/24/2019 10:47:22.893 AM","-0.624","2.263"
"20","10/24/2019 10:47:22.894 AM","-0.625","2.263"
"21","10/24/2019 10:47:22.895 AM","-0.626","2.263"
"22","10/24/2019 10:47:22.896 AM","-0.624","2.262"
"23","10/24/2019 10:47:22.897 AM","-0.625","2.263"
"24","10/24/2019 10:47:22.898 AM","-0.625","2.264"
"25","10/24/2019 10:47:22.899 AM","-0.626","2.263"
"26","10/24/2019 10:47:22.900 AM","-0.626","2.262"
"27","10/24/2019 10:47:22.901 AM","-0.626","2.263"
"28","10/24/2019 10:47:22.902 AM","-0.626","2.263"
"29","10/24/2019 10:47:22.903 AM","-0.627","2.264"
"30","10/24/2019 10:47:22.904 AM","-0.627","2.264"
"31","10/24/2019 10:47:22.905 AM","-0.627","2.264"
"32","10/24/2019 10:47:22.906 AM","-0.627","2.263"
"33","10/24/2019 10:47:22.907 AM","-0.628","2.264"
"34","10/24/2019 10:47:22.908 AM","-0.627","2.264"
"35","10/24/2019 10:47:22.909 AM","-0.627","2.265"
"36","10/24/2019 10:47:22.910 AM","-0.627","2.264"
"37","10/24/2019 10:47:22.911 AM","-0.628","2.264"
"38","10/24/2019 10:47:22.912 AM","-0.627","2.264"
