Approx 40 mph,Tube,Angle 1 reading [inch],Angle 2 reading [inch],,Approx 60 mph,Tube,Angle 1 reading [inch],Angle 2 reading [inch]
,1,22.1,21.6,,,1,23.2,22
,2,6.5,6.55,,,2,3.6,3.8
,3,6.5,6.6,,,3,3.6,3.8
,4,6.4,6.6,,,4,3.5,3.7
,5,8.25,8.5,,,5,4.9,5.3
,6,8.7,8.95,,,6,5,5.6
,7,10.05,10.2,,,7,7.05,7.4
,8,11.55,11.55,,,8,9.15,9.45
,9,13.1,12.95,,,9,11.25,11.7
,10,14.45,14.25,,,10,13.2,13.8
,11,15.25,15.2,,,11,14.8,15.1
,12,16.05,16.15,,,12,16,16.2
,13,16.45,16.5,,,13,16.55,16.7
,14,16.15,14.25,,,14,16.2,15.9
,15,15.15,15.5,,,15,15.3,14.6
,16,14.1,14.5,,,16,13.8,12.95
,17,12.6,12.95,,,17,11.6,10.75
,18,11.15,11.35,,,18,9.1,8.5
,19,9.55,9.6,,,19,6.65,6.4
,20,8,7.85,,,20,4.5,4.3
,21,6.55,6.45,,,21,3.3,3.3
,22,5.65,5.65,,,22,3.15,3.2
,23,5.5,5.6,,,23,3.15,3.2
,24,5.45,5.5,,,24,3.15,3.2
,25,23.8,24,,,25,25.7,25.75
