"Device: USB-1608FS"
"Serial Number: 7844"
"Channel Count: 2"
"Sample Count: 5394"
"Start Time: 10/24/2019 10:29:09.787 AM"
"Scan Rate: 1000"
"Sample","Date/Time","AI0 (V)","Torr (V)"
"0","10/24/2019 10:29:09.787 AM","-1.207","-0.024"
"1","10/24/2019 10:29:09.788 AM","-1.208","-0.025"
"2","10/24/2019 10:29:09.789 AM","-1.208","-0.024"
"3","10/24/2019 10:29:09.790 AM","-1.208","-0.024"
"4","10/24/2019 10:29:09.791 AM","-1.208","-0.024"
"5","10/24/2019 10:29:09.792 AM","-1.208","-0.024"
"6","10/24/2019 10:29:09.793 AM","-1.208","-0.024"
"7","10/24/2019 10:29:09.794 AM","-1.208","-0.024"
"8","10/24/2019 10:29:09.795 AM","-1.208","-0.024"
"9","10/24/2019 10:29:09.796 AM","-1.208","-0.024"
"10","10/24/2019 10:29:09.797 AM","-1.208","-0.024"
"11","10/24/2019 10:29:09.798 AM","-1.208","-0.024"
"12","10/24/2019 10:29:09.799 AM","-1.208","-0.024"
"13","10/24/2019 10:29:09.800 AM","-1.208","-0.024"
"14","10/24/2019 10:29:09.801 AM","-1.209","-0.024"
"15","10/24/2019 10:29:09.802 AM","-1.209","-0.024"
"16","10/24/2019 10:29:09.803 AM","-1.208","-0.024"
"17","10/24/2019 10:29:09.804 AM","-1.209","-0.024"
"18","10/24/2019 10:29:09.805 AM","-1.208","-0.024"
"19","10/24/2019 10:29:09.806 AM","-1.208","-0.024"
"20","10/24/2019 10:29:09.807 AM","-1.208","-0.024"
"21","10/24/2019 10:29:09.808 AM","-1.208","-0.024"
"22","10/24/2019 10:29:09.809 AM","-1.208","-0.024"
"23","10/24/2019 10:29:09.810 AM","-1.208","-0.024"
"24","10/24/2019 10:29:09.811 AM","-1.208","-0.024"
"25","10/24/2019 10:29:09.812 AM","-1.208","-0.023"
"26","10/24/2019 10:29:09.813 AM","-1.208","-0.024"
"27","10/24/2019 10:29:09.814 AM","-1.209","-0.024"
"28","10/24/2019 10:29:09.815 AM","-1.208","-0.024"
"29","10/24/2019 10:29:09.816 AM","-1.208","-0.024"
"30","10/24/2019 10:29:09.817 AM","-1.208","-0.024"
"31","10/24/2019 10:29:09.818 AM","-1.208","-0.024"
"32","10/24/2019 10:29:09.819 AM","-1.209","-0.024"
"33","10/24/2019 10:29:09.820 AM","-1.209","-0.024"
"34","10/24/2019 10:29:09.821 AM","-1.209","-0.024"
"35","10/24/2019 10:29:09.822 AM","-1.208","-0.025"
"36","10/24/2019 10:29:09.823 AM","-1.209","-0.025"
"37","10/24/2019 10:29:09.824 AM","-1.208","-0.025"
"38","10/24/2019 10:29:09.825 AM","-1.209","-0.025"
"39","10/24/2019 10:29:09.826 AM","-1.208","-0.025"
"40","10/24/2019 10:29:09.827 AM","-1.209","-0.026"
"41","10/24/2019 10:29:09.828 AM","-1.209","-0.025"
"42","10/24/2019 10:29:09.829 AM","-1.209","-0.025"
"43","10/24/2019 10:29:09.830 AM","-1.208","-0.026"
"44","10/24/2019 10:29:09.831 AM","-1.208","-0.025"
"45","10/24/2019 10:29:09.832 AM","-1.208","-0.025"
"46","10/24/2019 10:29:09.833 AM","-1.208","-0.026"
"47","10/24/2019 10:29:09.834 AM","-1.208","-0.025"
"48","10/24/2019 10:29:09.835 AM","-1.209","-0.026"
"49","10/24/2019 10:29:09.836 AM","-1.208","-0.027"
"50","10/24/2019 10:29:09.837 AM","-1.208","-0.025"
