"Device: USB-1608FS"
"Serial Number: 7844"
"Channel Count: 2"
"Sample Count: 6293"
"Start Time: 10/24/2019 10:49:37.397 AM"
"Scan Rate: 1000"
"Sample","Date/Time","AI0 (V)","Torr (V)"
"0","10/24/2019 10:49:37.397 AM","-0.459","3.281"
"1","10/24/2019 10:49:37.398 AM","-0.459","3.281"
"2","10/24/2019 10:49:37.399 AM","-0.459","3.281"
"3","10/24/2019 10:49:37.400 AM","-0.459","3.281"
"4","10/24/2019 10:49:37.401 AM","-0.460","3.281"
"5","10/24/2019 10:49:37.402 AM","-0.461","3.281"
"6","10/24/2019 10:49:37.403 AM","-0.459","3.281"
"7","10/24/2019 10:49:37.404 AM","-0.460","3.281"
"8","10/24/2019 10:49:37.405 AM","-0.459","3.281"
"9","10/24/2019 10:49:37.406 AM","-0.460","3.281"
"10","10/24/2019 10:49:37.407 AM","-0.460","3.281"
"11","10/24/2019 10:49:37.408 AM","-0.460","3.280"
"12","10/24/2019 10:49:37.409 AM","-0.460","3.280"
"13","10/24/2019 10:49:37.410 AM","-0.460","3.280"
"14","10/24/2019 10:49:37.411 AM","-0.461","3.280"
"15","10/24/2019 10:49:37.412 AM","-0.461","3.280"
"16","10/24/2019 10:49:37.413 AM","-0.460","3.280"
"17","10/24/2019 10:49:37.414 AM","-0.461","3.279"
"18","10/24/2019 10:49:37.415 AM","-0.462","3.279"
"19","10/24/2019 10:49:37.416 AM","-0.463","3.279"
"20","10/24/2019 10:49:37.417 AM","-0.463","3.279"
"21","10/24/2019 10:49:37.418 AM","-0.463","3.279"
"22","10/24/2019 10:49:37.419 AM","-0.462","3.279"
"23","10/24/2019 10:49:37.420 AM","-0.463","3.278"
"24","10/24/2019 10:49:37.421 AM","-0.463","3.278"
"25","10/24/2019 10:49:37.422 AM","-0.463","3.279"
"26","10/24/2019 10:49:37.423 AM","-0.463","3.278"
"27","10/24/2019 10:49:37.424 AM","-0.463","3.278"
"28","10/24/2019 10:49:37.425 AM","-0.464","3.278"
"29","10/24/2019 10:49:37.426 AM","-0.464","3.278"
"30","10/24/2019 10:49:37.427 AM","-0.463","3.278"
"31","10/24/2019 10:49:37.428 AM","-0.463","3.278"
"32","10/24/2019 10:49:37.429 AM","-0.463","3.278"
"33","10/24/2019 10:49:37.430 AM","-0.464","3.277"
"34","10/24/2019 10:49:37.431 AM","-0.464","3.278"
"35","10/24/2019 10:49:37.432 AM","-0.465","3.278"
"36","10/24/2019 10:49:37.433 AM","-0.463","3.277"
"37","10/24/2019 10:49:37.434 AM","-0.463","3.277"
"38","10/24/2019 10:49:37.435 AM","-0.464","3.278"
"39","10/24/2019 10:49:37.436 AM","-0.465","3.278"
