"Device: USB-1608FS"
"Serial Number: 7844"
"Channel Count: 2"
"Sample Count: 6184"
"Start Time: 10/24/2019 10:40:07.697 AM"
"Scan Rate: 1000"
"Sample","Date/Time","AI0 (V)","Torr (V)"
"0","10/24/2019 10:40:07.697 AM","-0.909","0.799"
"1","10/24/2019 10:40:07.698 AM","-0.909","0.798"
"2","10/24/2019 10:40:07.699 AM","-0.910","0.798"
"3","10/24/2019 10:40:07.700 AM","-0.909","0.799"
"4","10/24/2019 10:40:07.701 AM","-0.909","0.799"
"5","10/24/2019 10:40:07.702 AM","-0.910","0.800"
"6","10/24/2019 10:40:07.703 AM","-0.910","0.798"
"7","10/24/2019 10:40:07.704 AM","-0.910","0.798"
"8","10/24/2019 10:40:07.705 AM","-0.910","0.800"
"9","10/24/2019 10:40:07.706 AM","-0.909","0.799"
"10","10/24/2019 10:40:07.707 AM","-0.910","0.799"
"11","10/24/2019 10:40:07.708 AM","-0.908","0.800"
"12","10/24/2019 10:40:07.709 AM","-0.910","0.799"
"13","10/24/2019 10:40:07.710 AM","-0.910","0.799"
"14","10/24/2019 10:40:07.711 AM","-0.909","0.799"
"15","10/24/2019 10:40:07.712 AM","-0.910","0.799"
"16","10/24/2019 10:40:07.713 AM","-0.908","0.799"
"17","10/24/2019 10:40:07.714 AM","-0.909","0.799"
"18","10/24/2019 10:40:07.715 AM","-0.909","0.798"
"19","10/24/2019 10:40:07.716 AM","-0.908","0.799"
"20","10/24/2019 10:40:07.717 AM","-0.908","0.799"
"21","10/24/2019 10:40:07.718 AM","-0.908","0.799"
"22","10/24/2019 10:40:07.719 AM","-0.908","0.799"
"23","10/24/2019 10:40:07.720 AM","-0.908","0.799"
"24","10/24/2019 10:40:07.721 AM","-0.908","0.799"
"25","10/24/2019 10:40:07.722 AM","-0.907","0.799"
"26","10/24/2019 10:40:07.723 AM","-0.907","0.800"
"27","10/24/2019 10:40:07.724 AM","-0.907","0.800"
"28","10/24/2019 10:40:07.725 AM","-0.907","0.799"
"29","10/24/2019 10:40:07.726 AM","-0.906","0.800"
"30","10/24/2019 10:40:07.727 AM","-0.906","0.800"
"31","10/24/2019 10:40:07.728 AM","-0.906","0.801"
"32","10/24/2019 10:40:07.729 AM","-0.906","0.800"
"33","10/24/2019 10:40:07.730 AM","-0.905","0.801"
"34","10/24/2019 10:40:07.731 AM","-0.904","0.800"
"35","10/24/2019 10:40:07.732 AM","-0.904","0.800"
"36","10/24/2019 10:40:07.733 AM","-0.905","0.800"
"37","10/24/2019 10:40:07.734 AM","-0.904","0.801"
"38","10/24/2019 10:40:07.735 AM","-0.904","0.800"
"39","10/24/2019 10:40:07.736 AM","-0.904","0.800"
"40","10/24/2019 10:40:07.737 AM","-0.904","0.801"
"41","10/24/2019 10:40:07.738 AM","-0.903","0.800"
"42","10/24/2019 10:40:07.739 AM","-0.903","0.800"
"43","10/24/2019 10:40:07.740 AM","-0.903","0.800"
"44","10/24/2019 10:40:07.741 AM","-0.904","0.800"
"45","10/24/2019 10:40:07.742 AM","-0.903","0.801"
"46","10/24/2019 10:40:07.743 AM","-0.903","0.801"
"47","10/24/2019 10:40:07.744 AM","-0.902","0.801"
"48","10/24/2019 10:40:07.745 AM","-0.903","0.799"
"49","10/24/2019 10:40:07.746 AM","-0.903","0.800"
"50","10/24/2019 10:40:07.747 AM","-0.903","0.800"
"51","10/24/2019 10:40:07.748 AM","-0.903","0.800"
"52","10/24/2019 10:40:07.749 AM","-0.903","0.801"
"53","10/24/2019 10:40:07.750 AM","-0.903","0.800"
"54","10/24/2019 10:40:07.751 AM","-0.903","0.800"
"55","10/24/2019 10:40:07.752 AM","-0.903","0.800"
"56","10/24/2019 10:40:07.753 AM","-0.903","0.800"
"57","10/24/2019 10:40:07.754 AM","-0.903","0.801"
"58","10/24/2019 10:40:07.755 AM","-0.904","0.801"
"59","10/24/2019 10:40:07.756 AM","-0.904","0.801"
"60","10/24/2019 10:40:07.757 AM","-0.904","0.801"
"61","10/24/2019 10:40:07.758 AM","-0.904","0.799"
"62","10/24/2019 10:40:07.759 AM","-0.904","0.801"
"63","10/24/2019 10:40:07.760 AM","-0.905","0.801"
"64","10/24/2019 10:40:07.761 AM","-0.905","0.800"
"65","10/24/2019 10:40:07.762 AM","-0.904","0.800"
"66","10/24/2019 10:40:07.763 AM","-0.904","0.800"
"67","10/24/2019 10:40:07.764 AM","-0.905","0.801"
"68","10/24/2019 10:40:07.765 AM","-0.905","0.801"
"69","10/24/2019 10:40:07.766 AM","-0.906","0.801"
"70","10/24/2019 10:40:07.767 AM","-0.906","0.800"
"71","10/24/2019 10:40:07.768 AM","-0.906","0.800"
"72","10/24/2019 10:40:07.769 AM","-0.907","0.801"
"73","10/24/2019 10:40:07.770 AM","-0.907","0.801"
"74","10/24/2019 10:40:07.771 AM","-0.907","0.800"
"75","10/24/2019 10:40:07.772 AM","-0.907","0.801"
"76","10/24/2019 10:40:07.773 AM","-0.908","0.801"
"77","10/24/2019 10:40:07.774 AM","-0.907","0.801"
"78","10/24/2019 10:40:07.775 AM","-0.907","0.801"
"79","10/24/2019 10:40:07.776 AM","-0.908","0.801"
"80","10/24/2019 10:40:07.777 AM","-0.908","0.801"
"81","10/24/2019 10:40:07.778 AM","-0.908","0.801"
"82","10/24/2019 10:40:07.779 AM","-0.909","0.801"
"83","10/24/2019 10:40:07.780 AM","-0.908","0.801"
"84","10/24/2019 10:40:07.781 AM","-0.909","0.801"
"85","10/24/2019 10:40:07.782 AM","-0.910","0.801"
"86","10/24/2019 10:40:07.783 AM","-0.909","0.801"
"87","10/24/2019 10:40:07.784 AM","-0.909","0.801"
"88","10/24/2019 10:40:07.785 AM","-0.909","0.802"
"89","10/24/2019 10:40:07.786 AM","-0.909","0.800"
"90","10/24/2019 10:40:07.787 AM","-0.909","0.802"
"91","10/24/2019 10:40:07.788 AM","-0.909","0.801"
"92","10/24/2019 10:40:07.789 AM","-0.909","0.801"
"93","10/24/2019 10:40:07.790 AM","-0.909","0.801"
"94","10/24/2019 10:40:07.791 AM","-0.909","0.801"
"95","10/24/2019 10:40:07.792 AM","-0.910","0.801"
"96","10/24/2019 10:40:07.793 AM","-0.908","0.801"
"97","10/24/2019 10:40:07.794 AM","-0.908","0.800"
"98","10/24/2019 10:40:07.795 AM","-0.908","0.801"
"99","10/24/2019 10:40:07.796 AM","-0.908","0.801"
"100","10/24/2019 10:40:07.797 AM","-0.908","0.800"
"101","10/24/2019 10:40:07.798 AM","-0.908","0.801"
"102","10/24/2019 10:40:07.799 AM","-0.908","0.800"
"103","10/24/2019 10:40:07.800 AM","-0.908","0.800"
"104","10/24/2019 10:40:07.801 AM","-0.908","0.800"
"105","10/24/2019 10:40:07.802 AM","-0.907","0.800"
"106","10/24/2019 10:40:07.803 AM","-0.906","0.798"
"107","10/24/2019 10:40:07.804 AM","-0.906","0.799"
"108","10/24/2019 10:40:07.805 AM","-0.907","0.798"
"109","10/24/2019 10:40:07.806 AM","-0.907","0.799"
"110","10/24/2019 10:40:07.807 AM","-0.906","0.799"
"111","10/24/2019 10:40:07.808 AM","-0.906","0.798"
"112","10/24/2019 10:40:07.809 AM","-0.907","0.798"
"113","10/24/2019 10:40:07.810 AM","-0.904","0.798"
"114","10/24/2019 10:40:07.811 AM","-0.905","0.798"
"115","10/24/2019 10:40:07.812 AM","-0.905","0.799"
"116","10/24/2019 10:40:07.813 AM","-0.905","0.798"
"117","10/24/2019 10:40:07.814 AM","-0.904","0.798"
"118","10/24/2019 10:40:07.815 AM","-0.904","0.798"
"119","10/24/2019 10:40:07.816 AM","-0.904","0.797"
"120","10/24/2019 10:40:07.817 AM","-0.904","0.798"
"121","10/24/2019 10:40:07.818 AM","-0.903","0.798"
"122","10/24/2019 10:40:07.819 AM","-0.904","0.798"
"123","10/24/2019 10:40:07.820 AM","-0.903","0.798"
"124","10/24/2019 10:40:07.821 AM","-0.903","0.798"
