"Device: USB-1608FS"
"Serial Number: 7844"
"Channel Count: 2"
"Sample Count: 5487"
"Start Time: 10/24/2019 11:06:06.230 AM"
"Scan Rate: 1000"
"Sample","Date/Time","AI0 (V)","Torr (V)"
"0","10/24/2019 11:06:06.230 AM","1.032","-0.027"
"1","10/24/2019 11:06:06.231 AM","1.030","-0.028"
"2","10/24/2019 11:06:06.232 AM","1.031","-0.028"
"3","10/24/2019 11:06:06.233 AM","1.030","-0.028"
"4","10/24/2019 11:06:06.234 AM","1.031","-0.028"
"5","10/24/2019 11:06:06.235 AM","1.031","-0.027"
"6","10/24/2019 11:06:06.236 AM","1.031","-0.028"
"7","10/24/2019 11:06:06.237 AM","1.031","-0.028"
"8","10/24/2019 11:06:06.238 AM","1.030","-0.028"
"9","10/24/2019 11:06:06.239 AM","1.031","-0.027"
"10","10/24/2019 11:06:06.240 AM","1.031","-0.027"
"11","10/24/2019 11:06:06.241 AM","1.031","-0.027"
"12","10/24/2019 11:06:06.242 AM","1.031","-0.029"
"13","10/24/2019 11:06:06.243 AM","1.031","-0.029"
"14","10/24/2019 11:06:06.244 AM","1.031","-0.029"
"15","10/24/2019 11:06:06.245 AM","1.031","-0.029"
"16","10/24/2019 11:06:06.246 AM","1.031","-0.028"
"17","10/24/2019 11:06:06.247 AM","1.031","-0.029"
"18","10/24/2019 11:06:06.248 AM","1.031","-0.028"
"19","10/24/2019 11:06:06.249 AM","1.032","-0.028"
"20","10/24/2019 11:06:06.250 AM","1.031","-0.029"
"21","10/24/2019 11:06:06.251 AM","1.032","-0.029"
"22","10/24/2019 11:06:06.252 AM","1.031","-0.028"
"23","10/24/2019 11:06:06.253 AM","1.031","-0.028"
"24","10/24/2019 11:06:06.254 AM","1.031","-0.029"
"25","10/24/2019 11:06:06.255 AM","1.032","-0.028"
"26","10/24/2019 11:06:06.256 AM","1.031","-0.029"
"27","10/24/2019 11:06:06.257 AM","1.031","-0.029"
"28","10/24/2019 11:06:06.258 AM","1.032","-0.029"
"29","10/24/2019 11:06:06.259 AM","1.031","-0.029"
"30","10/24/2019 11:06:06.260 AM","1.032","-0.029"
"31","10/24/2019 11:06:06.261 AM","1.031","-0.030"
"32","10/24/2019 11:06:06.262 AM","1.032","-0.030"
"33","10/24/2019 11:06:06.263 AM","1.032","-0.029"
"34","10/24/2019 11:06:06.264 AM","1.031","-0.030"
"35","10/24/2019 11:06:06.265 AM","1.032","-0.030"
"36","10/24/2019 11:06:06.266 AM","1.032","-0.030"
"37","10/24/2019 11:06:06.267 AM","1.032","-0.030"
"38","10/24/2019 11:06:06.268 AM","1.033","-0.030"
"39","10/24/2019 11:06:06.269 AM","1.033","-0.030"
"40","10/24/2019 11:06:06.270 AM","1.032","-0.030"
"41","10/24/2019 11:06:06.271 AM","1.032","-0.030"
"42","10/24/2019 11:06:06.272 AM","1.032","-0.030"
"43","10/24/2019 11:06:06.273 AM","1.033","-0.030"
"44","10/24/2019 11:06:06.274 AM","1.033","-0.030"
"45","10/24/2019 11:06:06.275 AM","1.033","-0.030"
"46","10/24/2019 11:06:06.276 AM","1.032","-0.030"
"47","10/24/2019 11:06:06.277 AM","1.033","-0.030"
"48","10/24/2019 11:06:06.278 AM","1.033","-0.030"
"49","10/24/2019 11:06:06.279 AM","1.032","-0.030"
"50","10/24/2019 11:06:06.280 AM","1.032","-0.029"
"51","10/24/2019 11:06:06.281 AM","1.032","-0.030"
"52","10/24/2019 11:06:06.282 AM","1.033","-0.029"
"53","10/24/2019 11:06:06.283 AM","1.032","-0.030"
"54","10/24/2019 11:06:06.284 AM","1.033","-0.030"
"55","10/24/2019 11:06:06.285 AM","1.033","-0.030"
"56","10/24/2019 11:06:06.286 AM","1.033","-0.030"
"57","10/24/2019 11:06:06.287 AM","1.032","-0.030"
"58","10/24/2019 11:06:06.288 AM","1.032","-0.030"
"59","10/24/2019 11:06:06.289 AM","1.033","-0.030"
"60","10/24/2019 11:06:06.290 AM","1.032","-0.031"
"61","10/24/2019 11:06:06.291 AM","1.032","-0.030"
"62","10/24/2019 11:06:06.292 AM","1.033","-0.030"
"63","10/24/2019 11:06:06.293 AM","1.032","-0.030"
"64","10/24/2019 11:06:06.294 AM","1.033","-0.030"
"65","10/24/2019 11:06:06.295 AM","1.033","-0.031"
"66","10/24/2019 11:06:06.296 AM","1.033","-0.030"
"67","10/24/2019 11:06:06.297 AM","1.033","-0.031"
"68","10/24/2019 11:06:06.298 AM","1.032","-0.030"
"69","10/24/2019 11:06:06.299 AM","1.033","-0.031"
"70","10/24/2019 11:06:06.300 AM","1.033","-0.030"
"71","10/24/2019 11:06:06.301 AM","1.033","-0.030"
"72","10/24/2019 11:06:06.302 AM","1.033","-0.031"
"73","10/24/2019 11:06:06.303 AM","1.033","-0.030"
"74","10/24/2019 11:06:06.304 AM","1.033","-0.031"
"75","10/24/2019 11:06:06.305 AM","1.033","-0.030"
"76","10/24/2019 11:06:06.306 AM","1.033","-0.031"
"77","10/24/2019 11:06:06.307 AM","1.033","-0.031"
"78","10/24/2019 11:06:06.308 AM","1.033","-0.030"
"79","10/24/2019 11:06:06.309 AM","1.033","-0.030"
"80","10/24/2019 11:06:06.310 AM","1.033","-0.030"
"81","10/24/2019 11:06:06.311 AM","1.033","-0.031"
"82","10/24/2019 11:06:06.312 AM","1.033","-0.031"
"83","10/24/2019 11:06:06.313 AM","1.033","-0.030"
"84","10/24/2019 11:06:06.314 AM","1.033","-0.030"
"85","10/24/2019 11:06:06.315 AM","1.033","-0.030"
"86","10/24/2019 11:06:06.316 AM","1.033","-0.030"
"87","10/24/2019 11:06:06.317 AM","1.033","-0.030"
"88","10/24/2019 11:06:06.318 AM","1.033","-0.031"
"89","10/24/2019 11:06:06.319 AM","1.033","-0.030"
"90","10/24/2019 11:06:06.320 AM","1.034","-0.030"
"91","10/24/2019 11:06:06.321 AM","1.033","-0.030"
"92","10/24/2019 11:06:06.322 AM","1.033","-0.030"
"93","10/24/2019 11:06:06.323 AM","1.033","-0.031"
"94","10/24/2019 11:06:06.324 AM","1.033","-0.030"
"95","10/24/2019 11:06:06.325 AM","1.034","-0.031"
"96","10/24/2019 11:06:06.326 AM","1.033","-0.030"
"97","10/24/2019 11:06:06.327 AM","1.034","-0.031"
"98","10/24/2019 11:06:06.328 AM","1.033","-0.031"
"99","10/24/2019 11:06:06.329 AM","1.033","-0.030"
"100","10/24/2019 11:06:06.330 AM","1.033","-0.030"
"101","10/24/2019 11:06:06.331 AM","1.033","-0.030"
"102","10/24/2019 11:06:06.332 AM","1.033","-0.030"
"103","10/24/2019 11:06:06.333 AM","1.034","-0.030"
"104","10/24/2019 11:06:06.334 AM","1.033","-0.030"
"105","10/24/2019 11:06:06.335 AM","1.033","-0.030"
"106","10/24/2019 11:06:06.336 AM","1.033","-0.031"
"107","10/24/2019 11:06:06.337 AM","1.034","-0.030"
"108","10/24/2019 11:06:06.338 AM","1.034","-0.030"
"109","10/24/2019 11:06:06.339 AM","1.033","-0.030"
"110","10/24/2019 11:06:06.340 AM","1.033","-0.030"
"111","10/24/2019 11:06:06.341 AM","1.033","-0.029"
"112","10/24/2019 11:06:06.342 AM","1.033","-0.030"
"113","10/24/2019 11:06:06.343 AM","1.034","-0.030"
"114","10/24/2019 11:06:06.344 AM","1.033","-0.030"
"115","10/24/2019 11:06:06.345 AM","1.033","-0.030"
"116","10/24/2019 11:06:06.346 AM","1.034","-0.030"
"117","10/24/2019 11:06:06.347 AM","1.033","-0.029"
"118","10/24/2019 11:06:06.348 AM","1.033","-0.030"
"119","10/24/2019 11:06:06.349 AM","1.033","-0.029"
"120","10/24/2019 11:06:06.350 AM","1.033","-0.029"
"121","10/24/2019 11:06:06.351 AM","1.033","-0.029"
"122","10/24/2019 11:06:06.352 AM","1.033","-0.029"
"123","10/24/2019 11:06:06.353 AM","1.033","-0.029"
"124","10/24/2019 11:06:06.354 AM","1.033","-0.029"
"125","10/24/2019 11:06:06.355 AM","1.033","-0.029"
"126","10/24/2019 11:06:06.356 AM","1.034","-0.029"
"127","10/24/2019 11:06:06.357 AM","1.033","-0.029"
"128","10/24/2019 11:06:06.358 AM","1.033","-0.029"
"129","10/24/2019 11:06:06.359 AM","1.033","-0.029"
"130","10/24/2019 11:06:06.360 AM","1.033","-0.029"
"131","10/24/2019 11:06:06.361 AM","1.033","-0.029"
"132","10/24/2019 11:06:06.362 AM","1.033","-0.029"
"133","10/24/2019 11:06:06.363 AM","1.034","-0.029"
"134","10/24/2019 11:06:06.364 AM","1.033","-0.029"
"135","10/24/2019 11:06:06.365 AM","1.032","-0.028"
"136","10/24/2019 11:06:06.366 AM","1.033","-0.029"
"137","10/24/2019 11:06:06.367 AM","1.033","-0.029"
"138","10/24/2019 11:06:06.368 AM","1.033","-0.029"
"139","10/24/2019 11:06:06.369 AM","1.033","-0.028"
"140","10/24/2019 11:06:06.370 AM","1.033","-0.029"
"141","10/24/2019 11:06:06.371 AM","1.032","-0.029"
"142","10/24/2019 11:06:06.372 AM","1.033","-0.029"
"143","10/24/2019 11:06:06.373 AM","1.032","-0.029"
"144","10/24/2019 11:06:06.374 AM","1.033","-0.029"
"145","10/24/2019 11:06:06.375 AM","1.033","-0.029"
"146","10/24/2019 11:06:06.376 AM","1.033","-0.028"
"147","10/24/2019 11:06:06.377 AM","1.033","-0.028"
"148","10/24/2019 11:06:06.378 AM","1.033","-0.029"
"149","10/24/2019 11:06:06.379 AM","1.033","-0.029"
"150","10/24/2019 11:06:06.380 AM","1.032","-0.029"
"151","10/24/2019 11:06:06.381 AM","1.033","-0.029"
"152","10/24/2019 11:06:06.382 AM","1.032","-0.029"
"153","10/24/2019 11:06:06.383 AM","1.033","-0.028"
"154","10/24/2019 11:06:06.384 AM","1.033","-0.029"
"155","10/24/2019 11:06:06.385 AM","1.033","-0.029"
"156","10/24/2019 11:06:06.386 AM","1.033","-0.028"
"157","10/24/2019 11:06:06.387 AM","1.033","-0.028"
"158","10/24/2019 11:06:06.388 AM","1.033","-0.028"
"159","10/24/2019 11:06:06.389 AM","1.033","-0.028"
"160","10/24/2019 11:06:06.390 AM","1.032","-0.028"
"161","10/24/2019 11:06:06.391 AM","1.032","-0.028"
"162","10/24/2019 11:06:06.392 AM","1.032","-0.028"
"163","10/24/2019 11:06:06.393 AM","1.033","-0.027"
"164","10/24/2019 11:06:06.394 AM","1.032","-0.029"
"165","10/24/2019 11:06:06.395 AM","1.032","-0.029"
"166","10/24/2019 11:06:06.396 AM","1.033","-0.028"
"167","10/24/2019 11:06:06.397 AM","1.032","-0.029"
"168","10/24/2019 11:06:06.398 AM","1.032","-0.028"
"169","10/24/2019 11:06:06.399 AM","1.032","-0.028"
"170","10/24/2019 11:06:06.400 AM","1.033","-0.028"
"171","10/24/2019 11:06:06.401 AM","1.033","-0.028"
"172","10/24/2019 11:06:06.402 AM","1.032","-0.028"
"173","10/24/2019 11:06:06.403 AM","1.032","-0.028"
"174","10/24/2019 11:06:06.404 AM","1.032","-0.029"
"175","10/24/2019 11:06:06.405 AM","1.032","-0.028"
"176","10/24/2019 11:06:06.406 AM","1.033","-0.029"
"177","10/24/2019 11:06:06.407 AM","1.033","-0.029"
"178","10/24/2019 11:06:06.408 AM","1.033","-0.028"
"179","10/24/2019 11:06:06.409 AM","1.032","-0.029"
"180","10/24/2019 11:06:06.410 AM","1.033","-0.029"
"181","10/24/2019 11:06:06.411 AM","1.033","-0.028"
"182","10/24/2019 11:06:06.412 AM","1.032","-0.029"
