"Device: USB-1608FS"
"Serial Number: 7844"
"Channel Count: 2"
"Sample Count: 5580"
"Start Time: 10/24/2019 10:43:23.611 AM"
"Scan Rate: 1000"
"Sample","Date/Time","AI0 (V)","Torr (V)"
"0","10/24/2019 10:43:23.611 AM","-0.842","1.105"
"1","10/24/2019 10:43:23.612 AM","-0.841","1.105"
"2","10/24/2019 10:43:23.613 AM","-0.841","1.105"
"3","10/24/2019 10:43:23.614 AM","-0.841","1.105"
"4","10/24/2019 10:43:23.615 AM","-0.842","1.105"
"5","10/24/2019 10:43:23.616 AM","-0.840","1.105"
"6","10/24/2019 10:43:23.617 AM","-0.841","1.105"
"7","10/24/2019 10:43:23.618 AM","-0.841","1.105"
"8","10/24/2019 10:43:23.619 AM","-0.840","1.105"
"9","10/24/2019 10:43:23.620 AM","-0.840","1.105"
"10","10/24/2019 10:43:23.621 AM","-0.839","1.105"
"11","10/24/2019 10:43:23.622 AM","-0.840","1.105"
"12","10/24/2019 10:43:23.623 AM","-0.839","1.105"
"13","10/24/2019 10:43:23.624 AM","-0.838","1.105"
"14","10/24/2019 10:43:23.625 AM","-0.839","1.105"
"15","10/24/2019 10:43:23.626 AM","-0.838","1.105"
"16","10/24/2019 10:43:23.627 AM","-0.838","1.105"
"17","10/24/2019 10:43:23.628 AM","-0.838","1.105"
"18","10/24/2019 10:43:23.629 AM","-0.839","1.105"
"19","10/24/2019 10:43:23.630 AM","-0.838","1.105"
"20","10/24/2019 10:43:23.631 AM","-0.839","1.106"
"21","10/24/2019 10:43:23.632 AM","-0.839","1.105"
"22","10/24/2019 10:43:23.633 AM","-0.838","1.105"
"23","10/24/2019 10:43:23.634 AM","-0.838","1.105"
"24","10/24/2019 10:43:23.635 AM","-0.838","1.105"
"25","10/24/2019 10:43:23.636 AM","-0.838","1.105"
"26","10/24/2019 10:43:23.637 AM","-0.839","1.105"
"27","10/24/2019 10:43:23.638 AM","-0.838","1.106"
"28","10/24/2019 10:43:23.639 AM","-0.839","1.105"
"29","10/24/2019 10:43:23.640 AM","-0.838","1.106"
"30","10/24/2019 10:43:23.641 AM","-0.838","1.106"
"31","10/24/2019 10:43:23.642 AM","-0.838","1.105"
"32","10/24/2019 10:43:23.643 AM","-0.839","1.106"
"33","10/24/2019 10:43:23.644 AM","-0.839","1.106"
"34","10/24/2019 10:43:23.645 AM","-0.839","1.105"
"35","10/24/2019 10:43:23.646 AM","-0.839","1.106"
"36","10/24/2019 10:43:23.647 AM","-0.839","1.106"
"37","10/24/2019 10:43:23.648 AM","-0.839","1.105"
"38","10/24/2019 10:43:23.649 AM","-0.839","1.106"
"39","10/24/2019 10:43:23.650 AM","-0.839","1.106"
"40","10/24/2019 10:43:23.651 AM","-0.840","1.105"
"41","10/24/2019 10:43:23.652 AM","-0.839","1.106"
"42","10/24/2019 10:43:23.653 AM","-0.840","1.105"
"43","10/24/2019 10:43:23.654 AM","-0.840","1.106"
"44","10/24/2019 10:43:23.655 AM","-0.840","1.106"
"45","10/24/2019 10:43:23.656 AM","-0.841","1.105"
"46","10/24/2019 10:43:23.657 AM","-0.839","1.105"
"47","10/24/2019 10:43:23.658 AM","-0.841","1.106"
"48","10/24/2019 10:43:23.659 AM","-0.841","1.106"
"49","10/24/2019 10:43:23.660 AM","-0.841","1.106"
"50","10/24/2019 10:43:23.661 AM","-0.841","1.106"
"51","10/24/2019 10:43:23.662 AM","-0.841","1.106"
"52","10/24/2019 10:43:23.663 AM","-0.841","1.106"
"53","10/24/2019 10:43:23.664 AM","-0.841","1.105"
"54","10/24/2019 10:43:23.665 AM","-0.842","1.106"
"55","10/24/2019 10:43:23.666 AM","-0.842","1.105"
"56","10/24/2019 10:43:23.667 AM","-0.842","1.105"
"57","10/24/2019 10:43:23.668 AM","-0.842","1.106"
"58","10/24/2019 10:43:23.669 AM","-0.843","1.105"
"59","10/24/2019 10:43:23.670 AM","-0.842","1.106"
"60","10/24/2019 10:43:23.671 AM","-0.842","1.106"
"61","10/24/2019 10:43:23.672 AM","-0.843","1.106"
"62","10/24/2019 10:43:23.673 AM","-0.842","1.105"
"63","10/24/2019 10:43:23.674 AM","-0.843","1.106"
"64","10/24/2019 10:43:23.675 AM","-0.843","1.106"
"65","10/24/2019 10:43:23.676 AM","-0.843","1.106"
"66","10/24/2019 10:43:23.677 AM","-0.843","1.105"
"67","10/24/2019 10:43:23.678 AM","-0.844","1.106"
"68","10/24/2019 10:43:23.679 AM","-0.843","1.106"
"69","10/24/2019 10:43:23.680 AM","-0.843","1.106"
"70","10/24/2019 10:43:23.681 AM","-0.843","1.106"
"71","10/24/2019 10:43:23.682 AM","-0.843","1.106"
"72","10/24/2019 10:43:23.683 AM","-0.842","1.106"
"73","10/24/2019 10:43:23.684 AM","-0.843","1.106"
"74","10/24/2019 10:43:23.685 AM","-0.843","1.107"
"75","10/24/2019 10:43:23.686 AM","-0.843","1.107"
"76","10/24/2019 10:43:23.687 AM","-0.843","1.107"
"77","10/24/2019 10:43:23.688 AM","-0.843","1.106"
"78","10/24/2019 10:43:23.689 AM","-0.843","1.106"
"79","10/24/2019 10:43:23.690 AM","-0.842","1.107"
"80","10/24/2019 10:43:23.691 AM","-0.843","1.107"
"81","10/24/2019 10:43:23.692 AM","-0.842","1.107"
"82","10/24/2019 10:43:23.693 AM","-0.843","1.107"
"83","10/24/2019 10:43:23.694 AM","-0.842","1.107"
"84","10/24/2019 10:43:23.695 AM","-0.842","1.106"
"85","10/24/2019 10:43:23.696 AM","-0.843","1.107"
"86","10/24/2019 10:43:23.697 AM","-0.842","1.108"
"87","10/24/2019 10:43:23.698 AM","-0.842","1.107"
"88","10/24/2019 10:43:23.699 AM","-0.842","1.107"
"89","10/24/2019 10:43:23.700 AM","-0.842","1.107"
"90","10/24/2019 10:43:23.701 AM","-0.842","1.107"
"91","10/24/2019 10:43:23.702 AM","-0.842","1.108"
"92","10/24/2019 10:43:23.703 AM","-0.842","1.107"
"93","10/24/2019 10:43:23.704 AM","-0.841","1.108"
"94","10/24/2019 10:43:23.705 AM","-0.841","1.107"
"95","10/24/2019 10:43:23.706 AM","-0.841","1.107"
"96","10/24/2019 10:43:23.707 AM","-0.841","1.106"
"97","10/24/2019 10:43:23.708 AM","-0.840","1.107"
"98","10/24/2019 10:43:23.709 AM","-0.841","1.107"
"99","10/24/2019 10:43:23.710 AM","-0.840","1.107"
"100","10/24/2019 10:43:23.711 AM","-0.841","1.107"
"101","10/24/2019 10:43:23.712 AM","-0.840","1.107"
"102","10/24/2019 10:43:23.713 AM","-0.841","1.107"
"103","10/24/2019 10:43:23.714 AM","-0.839","1.107"
"104","10/24/2019 10:43:23.715 AM","-0.840","1.107"
"105","10/24/2019 10:43:23.716 AM","-0.840","1.107"
"106","10/24/2019 10:43:23.717 AM","-0.839","1.107"
"107","10/24/2019 10:43:23.718 AM","-0.839","1.107"
"108","10/24/2019 10:43:23.719 AM","-0.840","1.107"
"109","10/24/2019 10:43:23.720 AM","-0.840","1.107"
"110","10/24/2019 10:43:23.721 AM","-0.839","1.107"
"111","10/24/2019 10:43:23.722 AM","-0.839","1.108"
"112","10/24/2019 10:43:23.723 AM","-0.839","1.107"
"113","10/24/2019 10:43:23.724 AM","-0.839","1.107"
"114","10/24/2019 10:43:23.725 AM","-0.839","1.107"
"115","10/24/2019 10:43:23.726 AM","-0.838","1.107"
"116","10/24/2019 10:43:23.727 AM","-0.839","1.107"
"117","10/24/2019 10:43:23.728 AM","-0.839","1.107"
"118","10/24/2019 10:43:23.729 AM","-0.840","1.107"
"119","10/24/2019 10:43:23.730 AM","-0.839","1.107"
"120","10/24/2019 10:43:23.731 AM","-0.839","1.107"
"121","10/24/2019 10:43:23.732 AM","-0.839","1.107"
"122","10/24/2019 10:43:23.733 AM","-0.838","1.107"
"123","10/24/2019 10:43:23.734 AM","-0.839","1.107"
"124","10/24/2019 10:43:23.735 AM","-0.839","1.107"
"125","10/24/2019 10:43:23.736 AM","-0.839","1.108"
"126","10/24/2019 10:43:23.737 AM","-0.840","1.107"
"127","10/24/2019 10:43:23.738 AM","-0.839","1.107"
"128","10/24/2019 10:43:23.739 AM","-0.840","1.107"
"129","10/24/2019 10:43:23.740 AM","-0.840","1.107"
"130","10/24/2019 10:43:23.741 AM","-0.840","1.107"
"131","10/24/2019 10:43:23.742 AM","-0.839","1.106"
"132","10/24/2019 10:43:23.743 AM","-0.841","1.106"
"133","10/24/2019 10:43:23.744 AM","-0.839","1.107"
"134","10/24/2019 10:43:23.745 AM","-0.841","1.107"
"135","10/24/2019 10:43:23.746 AM","-0.841","1.107"
"136","10/24/2019 10:43:23.747 AM","-0.840","1.106"
"137","10/24/2019 10:43:23.748 AM","-0.841","1.106"
"138","10/24/2019 10:43:23.749 AM","-0.842","1.106"
"139","10/24/2019 10:43:23.750 AM","-0.841","1.106"
"140","10/24/2019 10:43:23.751 AM","-0.842","1.106"
"141","10/24/2019 10:43:23.752 AM","-0.841","1.106"
"142","10/24/2019 10:43:23.753 AM","-0.841","1.106"
"143","10/24/2019 10:43:23.754 AM","-0.842","1.106"
"144","10/24/2019 10:43:23.755 AM","-0.841","1.106"
"145","10/24/2019 10:43:23.756 AM","-0.842","1.106"
"146","10/24/2019 10:43:23.757 AM","-0.842","1.106"
"147","10/24/2019 10:43:23.758 AM","-0.841","1.106"
"148","10/24/2019 10:43:23.759 AM","-0.841","1.106"
"149","10/24/2019 10:43:23.760 AM","-0.842","1.105"
"150","10/24/2019 10:43:23.761 AM","-0.842","1.105"
"151","10/24/2019 10:43:23.762 AM","-0.842","1.105"
"152","10/24/2019 10:43:23.763 AM","-0.842","1.105"
