"Device: USB-1608FS"
"Serial Number: 7844"
"Channel Count: 2"
"Sample Count: 6572"
"Start Time: 10/24/2019 11:00:01.410 AM"
"Scan Rate: 1000"
"Sample","Date/Time","AI0 (V)","Torr (V)"
"0","10/24/2019 11:00:01.410 AM","-0.210","4.883"
"1","10/24/2019 11:00:01.411 AM","-0.210","4.883"
"2","10/24/2019 11:00:01.412 AM","-0.210","4.883"
"3","10/24/2019 11:00:01.413 AM","-0.210","4.883"
"4","10/24/2019 11:00:01.414 AM","-0.210","4.882"
"5","10/24/2019 11:00:01.415 AM","-0.211","4.883"
"6","10/24/2019 11:00:01.416 AM","-0.211","4.883"
"7","10/24/2019 11:00:01.417 AM","-0.211","4.882"
"8","10/24/2019 11:00:01.418 AM","-0.212","4.883"
"9","10/24/2019 11:00:01.419 AM","-0.212","4.883"
"10","10/24/2019 11:00:01.420 AM","-0.212","4.883"
"11","10/24/2019 11:00:01.421 AM","-0.213","4.882"
"12","10/24/2019 11:00:01.422 AM","-0.213","4.883"
"13","10/24/2019 11:00:01.423 AM","-0.213","4.883"
"14","10/24/2019 11:00:01.424 AM","-0.213","4.883"
"15","10/24/2019 11:00:01.425 AM","-0.213","4.882"
"16","10/24/2019 11:00:01.426 AM","-0.213","4.882"
"17","10/24/2019 11:00:01.427 AM","-0.214","4.882"
"18","10/24/2019 11:00:01.428 AM","-0.215","4.883"
"19","10/24/2019 11:00:01.429 AM","-0.215","4.882"
"20","10/24/2019 11:00:01.430 AM","-0.215","4.882"
"21","10/24/2019 11:00:01.431 AM","-0.216","4.882"
"22","10/24/2019 11:00:01.432 AM","-0.216","4.882"
"23","10/24/2019 11:00:01.433 AM","-0.216","4.883"
"24","10/24/2019 11:00:01.434 AM","-0.216","4.882"
"25","10/24/2019 11:00:01.435 AM","-0.217","4.882"
"26","10/24/2019 11:00:01.436 AM","-0.218","4.883"
"27","10/24/2019 11:00:01.437 AM","-0.218","4.882"
"28","10/24/2019 11:00:01.438 AM","-0.217","4.882"
"29","10/24/2019 11:00:01.439 AM","-0.218","4.882"
"30","10/24/2019 11:00:01.440 AM","-0.218","4.883"
"31","10/24/2019 11:00:01.441 AM","-0.218","4.882"
"32","10/24/2019 11:00:01.442 AM","-0.219","4.882"
"33","10/24/2019 11:00:01.443 AM","-0.218","4.882"
"34","10/24/2019 11:00:01.444 AM","-0.219","4.882"
"35","10/24/2019 11:00:01.445 AM","-0.219","4.882"
"36","10/24/2019 11:00:01.446 AM","-0.218","4.882"
"37","10/24/2019 11:00:01.447 AM","-0.218","4.882"
"38","10/24/2019 11:00:01.448 AM","-0.219","4.882"
"39","10/24/2019 11:00:01.449 AM","-0.219","4.882"
"40","10/24/2019 11:00:01.450 AM","-0.219","4.883"
"41","10/24/2019 11:00:01.451 AM","-0.219","4.882"
"42","10/24/2019 11:00:01.452 AM","-0.219","4.882"
"43","10/24/2019 11:00:01.453 AM","-0.218","4.883"
"44","10/24/2019 11:00:01.454 AM","-0.218","4.884"
"45","10/24/2019 11:00:01.455 AM","-0.218","4.882"
"46","10/24/2019 11:00:01.456 AM","-0.218","4.882"
"47","10/24/2019 11:00:01.457 AM","-0.217","4.882"
"48","10/24/2019 11:00:01.458 AM","-0.217","4.883"
"49","10/24/2019 11:00:01.459 AM","-0.217","4.882"
"50","10/24/2019 11:00:01.460 AM","-0.216","4.883"
"51","10/24/2019 11:00:01.461 AM","-0.217","4.882"
"52","10/24/2019 11:00:01.462 AM","-0.217","4.882"
"53","10/24/2019 11:00:01.463 AM","-0.217","4.883"
"54","10/24/2019 11:00:01.464 AM","-0.217","4.882"
"55","10/24/2019 11:00:01.465 AM","-0.216","4.882"
"56","10/24/2019 11:00:01.466 AM","-0.216","4.882"
"57","10/24/2019 11:00:01.467 AM","-0.216","4.882"
"58","10/24/2019 11:00:01.468 AM","-0.216","4.882"
"59","10/24/2019 11:00:01.469 AM","-0.215","4.882"
"60","10/24/2019 11:00:01.470 AM","-0.215","4.882"
"61","10/24/2019 11:00:01.471 AM","-0.215","4.882"
"62","10/24/2019 11:00:01.472 AM","-0.216","4.882"
"63","10/24/2019 11:00:01.473 AM","-0.215","4.883"
"64","10/24/2019 11:00:01.474 AM","-0.215","4.882"
"65","10/24/2019 11:00:01.475 AM","-0.215","4.883"
"66","10/24/2019 11:00:01.476 AM","-0.215","4.882"
"67","10/24/2019 11:00:01.477 AM","-0.214","4.882"
"68","10/24/2019 11:00:01.478 AM","-0.214","4.882"
"69","10/24/2019 11:00:01.479 AM","-0.215","4.882"
"70","10/24/2019 11:00:01.480 AM","-0.215","4.882"
"71","10/24/2019 11:00:01.481 AM","-0.214","4.882"
"72","10/24/2019 11:00:01.482 AM","-0.214","4.882"
"73","10/24/2019 11:00:01.483 AM","-0.214","4.882"
"74","10/24/2019 11:00:01.484 AM","-0.214","4.882"
"75","10/24/2019 11:00:01.485 AM","-0.215","4.882"
"76","10/24/2019 11:00:01.486 AM","-0.215","4.881"
