"Device: USB-1608FS"
"Serial Number: 7844"
"Channel Count: 2"
"Sample Count: 5642"
"Start Time: 10/24/2019 11:04:20.174 AM"
"Scan Rate: 1000"
"Sample","Date/Time","AI0 (V)","Torr (V)"
"0","10/24/2019 11:04:20.174 AM","-1.209","-0.030"
"1","10/24/2019 11:04:20.175 AM","-1.209","-0.030"
"2","10/24/2019 11:04:20.176 AM","-1.208","-0.030"
"3","10/24/2019 11:04:20.177 AM","-1.209","-0.030"
"4","10/24/2019 11:04:20.178 AM","-1.209","-0.030"
"5","10/24/2019 11:04:20.179 AM","-1.208","-0.030"
"6","10/24/2019 11:04:20.180 AM","-1.210","-0.030"
"7","10/24/2019 11:04:20.181 AM","-1.209","-0.030"
"8","10/24/2019 11:04:20.182 AM","-1.209","-0.030"
"9","10/24/2019 11:04:20.183 AM","-1.210","-0.030"
"10","10/24/2019 11:04:20.184 AM","-1.210","-0.031"
"11","10/24/2019 11:04:20.185 AM","-1.209","-0.030"
"12","10/24/2019 11:04:20.186 AM","-1.210","-0.030"
"13","10/24/2019 11:04:20.187 AM","-1.210","-0.031"
"14","10/24/2019 11:04:20.188 AM","-1.209","-0.031"
"15","10/24/2019 11:04:20.189 AM","-1.209","-0.030"
"16","10/24/2019 11:04:20.190 AM","-1.209","-0.030"
"17","10/24/2019 11:04:20.191 AM","-1.209","-0.030"
"18","10/24/2019 11:04:20.192 AM","-1.209","-0.030"
"19","10/24/2019 11:04:20.193 AM","-1.209","-0.031"
"20","10/24/2019 11:04:20.194 AM","-1.209","-0.030"
"21","10/24/2019 11:04:20.195 AM","-1.210","-0.030"
"22","10/24/2019 11:04:20.196 AM","-1.209","-0.030"
"23","10/24/2019 11:04:20.197 AM","-1.209","-0.030"
"24","10/24/2019 11:04:20.198 AM","-1.210","-0.030"
"25","10/24/2019 11:04:20.199 AM","-1.209","-0.030"
"26","10/24/2019 11:04:20.200 AM","-1.210","-0.030"
"27","10/24/2019 11:04:20.201 AM","-1.210","-0.030"
"28","10/24/2019 11:04:20.202 AM","-1.209","-0.030"
"29","10/24/2019 11:04:20.203 AM","-1.209","-0.030"
"30","10/24/2019 11:04:20.204 AM","-1.209","-0.030"
"31","10/24/2019 11:04:20.205 AM","-1.210","-0.031"
"32","10/24/2019 11:04:20.206 AM","-1.209","-0.030"
"33","10/24/2019 11:04:20.207 AM","-1.210","-0.031"
"34","10/24/2019 11:04:20.208 AM","-1.209","-0.030"
"35","10/24/2019 11:04:20.209 AM","-1.210","-0.030"
"36","10/24/2019 11:04:20.210 AM","-1.209","-0.030"
"37","10/24/2019 11:04:20.211 AM","-1.209","-0.031"
"38","10/24/2019 11:04:20.212 AM","-1.209","-0.031"
"39","10/24/2019 11:04:20.213 AM","-1.210","-0.030"
"40","10/24/2019 11:04:20.214 AM","-1.209","-0.031"
"41","10/24/2019 11:04:20.215 AM","-1.210","-0.030"
"42","10/24/2019 11:04:20.216 AM","-1.210","-0.030"
"43","10/24/2019 11:04:20.217 AM","-1.210","-0.031"
"44","10/24/2019 11:04:20.218 AM","-1.210","-0.031"
"45","10/24/2019 11:04:20.219 AM","-1.210","-0.030"
"46","10/24/2019 11:04:20.220 AM","-1.209","-0.030"
"47","10/24/2019 11:04:20.221 AM","-1.210","-0.031"
"48","10/24/2019 11:04:20.222 AM","-1.210","-0.030"
"49","10/24/2019 11:04:20.223 AM","-1.209","-0.031"
"50","10/24/2019 11:04:20.224 AM","-1.210","-0.030"
"51","10/24/2019 11:04:20.225 AM","-1.209","-0.031"
"52","10/24/2019 11:04:20.226 AM","-1.210","-0.030"
"53","10/24/2019 11:04:20.227 AM","-1.210","-0.030"
"54","10/24/2019 11:04:20.228 AM","-1.210","-0.031"
"55","10/24/2019 11:04:20.229 AM","-1.210","-0.030"
"56","10/24/2019 11:04:20.230 AM","-1.209","-0.031"
"57","10/24/2019 11:04:20.231 AM","-1.209","-0.030"
"58","10/24/2019 11:04:20.232 AM","-1.209","-0.031"
"59","10/24/2019 11:04:20.233 AM","-1.210","-0.030"
"60","10/24/2019 11:04:20.234 AM","-1.209","-0.030"
"61","10/24/2019 11:04:20.235 AM","-1.210","-0.030"
"62","10/24/2019 11:04:20.236 AM","-1.209","-0.031"
"63","10/24/2019 11:04:20.237 AM","-1.210","-0.031"
"64","10/24/2019 11:04:20.238 AM","-1.210","-0.030"
"65","10/24/2019 11:04:20.239 AM","-1.210","-0.030"
"66","10/24/2019 11:04:20.240 AM","-1.208","-0.030"
"67","10/24/2019 11:04:20.241 AM","-1.209","-0.029"
"68","10/24/2019 11:04:20.242 AM","-1.210","-0.030"
"69","10/24/2019 11:04:20.243 AM","-1.210","-0.029"
"70","10/24/2019 11:04:20.244 AM","-1.209","-0.030"
"71","10/24/2019 11:04:20.245 AM","-1.210","-0.029"
"72","10/24/2019 11:04:20.246 AM","-1.209","-0.030"
"73","10/24/2019 11:04:20.247 AM","-1.209","-0.029"
"74","10/24/2019 11:04:20.248 AM","-1.210","-0.029"
"75","10/24/2019 11:04:20.249 AM","-1.209","-0.029"
"76","10/24/2019 11:04:20.250 AM","-1.210","-0.029"
"77","10/24/2019 11:04:20.251 AM","-1.209","-0.028"
"78","10/24/2019 11:04:20.252 AM","-1.209","-0.029"
"79","10/24/2019 11:04:20.253 AM","-1.209","-0.029"
"80","10/24/2019 11:04:20.254 AM","-1.209","-0.029"
"81","10/24/2019 11:04:20.255 AM","-1.209","-0.029"
"82","10/24/2019 11:04:20.256 AM","-1.210","-0.029"
"83","10/24/2019 11:04:20.257 AM","-1.209","-0.028"
"84","10/24/2019 11:04:20.258 AM","-1.209","-0.029"
"85","10/24/2019 11:04:20.259 AM","-1.209","-0.028"
"86","10/24/2019 11:04:20.260 AM","-1.209","-0.029"
"87","10/24/2019 11:04:20.261 AM","-1.210","-0.029"
"88","10/24/2019 11:04:20.262 AM","-1.210","-0.028"
"89","10/24/2019 11:04:20.263 AM","-1.209","-0.029"
"90","10/24/2019 11:04:20.264 AM","-1.210","-0.028"
"91","10/24/2019 11:04:20.265 AM","-1.209","-0.028"
"92","10/24/2019 11:04:20.266 AM","-1.209","-0.029"
"93","10/24/2019 11:04:20.267 AM","-1.209","-0.029"
"94","10/24/2019 11:04:20.268 AM","-1.209","-0.028"
"95","10/24/2019 11:04:20.269 AM","-1.210","-0.028"
"96","10/24/2019 11:04:20.270 AM","-1.209","-0.029"
"97","10/24/2019 11:04:20.271 AM","-1.210","-0.028"
"98","10/24/2019 11:04:20.272 AM","-1.210","-0.028"
"99","10/24/2019 11:04:20.273 AM","-1.209","-0.029"
"100","10/24/2019 11:04:20.274 AM","-1.209","-0.029"
"101","10/24/2019 11:04:20.275 AM","-1.210","-0.028"
"102","10/24/2019 11:04:20.276 AM","-1.209","-0.028"
"103","10/24/2019 11:04:20.277 AM","-1.210","-0.027"
"104","10/24/2019 11:04:20.278 AM","-1.209","-0.029"
"105","10/24/2019 11:04:20.279 AM","-1.209","-0.028"
"106","10/24/2019 11:04:20.280 AM","-1.209","-0.029"
"107","10/24/2019 11:04:20.281 AM","-1.209","-0.029"
"108","10/24/2019 11:04:20.282 AM","-1.210","-0.029"
"109","10/24/2019 11:04:20.283 AM","-1.210","-0.029"
"110","10/24/2019 11:04:20.284 AM","-1.209","-0.029"
"111","10/24/2019 11:04:20.285 AM","-1.210","-0.029"
"112","10/24/2019 11:04:20.286 AM","-1.210","-0.027"
"113","10/24/2019 11:04:20.287 AM","-1.209","-0.028"
"114","10/24/2019 11:04:20.288 AM","-1.209","-0.028"
"115","10/24/2019 11:04:20.289 AM","-1.210","-0.029"
"116","10/24/2019 11:04:20.290 AM","-1.209","-0.028"
"117","10/24/2019 11:04:20.291 AM","-1.209","-0.028"
"118","10/24/2019 11:04:20.292 AM","-1.209","-0.028"
"119","10/24/2019 11:04:20.293 AM","-1.210","-0.029"
"120","10/24/2019 11:04:20.294 AM","-1.209","-0.028"
"121","10/24/2019 11:04:20.295 AM","-1.210","-0.027"
"122","10/24/2019 11:04:20.296 AM","-1.209","-0.028"
"123","10/24/2019 11:04:20.297 AM","-1.210","-0.028"
"124","10/24/2019 11:04:20.298 AM","-1.210","-0.028"
"125","10/24/2019 11:04:20.299 AM","-1.210","-0.028"
"126","10/24/2019 11:04:20.300 AM","-1.209","-0.028"
"127","10/24/2019 11:04:20.301 AM","-1.210","-0.028"
"128","10/24/2019 11:04:20.302 AM","-1.209","-0.028"
"129","10/24/2019 11:04:20.303 AM","-1.210","-0.028"
"130","10/24/2019 11:04:20.304 AM","-1.209","-0.029"
"131","10/24/2019 11:04:20.305 AM","-1.209","-0.028"
"132","10/24/2019 11:04:20.306 AM","-1.209","-0.029"
"133","10/24/2019 11:04:20.307 AM","-1.209","-0.028"
"134","10/24/2019 11:04:20.308 AM","-1.210","-0.029"
"135","10/24/2019 11:04:20.309 AM","-1.209","-0.028"
"136","10/24/2019 11:04:20.310 AM","-1.210","-0.029"
"137","10/24/2019 11:04:20.311 AM","-1.209","-0.028"
"138","10/24/2019 11:04:20.312 AM","-1.209","-0.028"
"139","10/24/2019 11:04:20.313 AM","-1.209","-0.029"
"140","10/24/2019 11:04:20.314 AM","-1.209","-0.028"
"141","10/24/2019 11:04:20.315 AM","-1.210","-0.029"
"142","10/24/2019 11:04:20.316 AM","-1.210","-0.029"
"143","10/24/2019 11:04:20.317 AM","-1.210","-0.029"
"144","10/24/2019 11:04:20.318 AM","-1.210","-0.029"
"145","10/24/2019 11:04:20.319 AM","-1.209","-0.029"
"146","10/24/2019 11:04:20.320 AM","-1.209","-0.030"
"147","10/24/2019 11:04:20.321 AM","-1.209","-0.030"
"148","10/24/2019 11:04:20.322 AM","-1.208","-0.029"
"149","10/24/2019 11:04:20.323 AM","-1.210","-0.029"
"150","10/24/2019 11:04:20.324 AM","-1.209","-0.030"
"151","10/24/2019 11:04:20.325 AM","-1.209","-0.029"
"152","10/24/2019 11:04:20.326 AM","-1.210","-0.030"
"153","10/24/2019 11:04:20.327 AM","-1.209","-0.029"
"154","10/24/2019 11:04:20.328 AM","-1.209","-0.030"
"155","10/24/2019 11:04:20.329 AM","-1.210","-0.030"
"156","10/24/2019 11:04:20.330 AM","-1.209","-0.031"
"157","10/24/2019 11:04:20.331 AM","-1.209","-0.030"
"158","10/24/2019 11:04:20.332 AM","-1.210","-0.031"
"159","10/24/2019 11:04:20.333 AM","-1.209","-0.030"
"160","10/24/2019 11:04:20.334 AM","-1.210","-0.031"
"161","10/24/2019 11:04:20.335 AM","-1.210","-0.030"
"162","10/24/2019 11:04:20.336 AM","-1.210","-0.030"
"163","10/24/2019 11:04:20.337 AM","-1.210","-0.031"
"164","10/24/2019 11:04:20.338 AM","-1.209","-0.030"
"165","10/24/2019 11:04:20.339 AM","-1.209","-0.031"
"166","10/24/2019 11:04:20.340 AM","-1.209","-0.031"
"167","10/24/2019 11:04:20.341 AM","-1.209","-0.030"
"168","10/24/2019 11:04:20.342 AM","-1.210","-0.031"
"169","10/24/2019 11:04:20.343 AM","-1.209","-0.030"
"170","10/24/2019 11:04:20.344 AM","-1.209","-0.030"
"171","10/24/2019 11:04:20.345 AM","-1.209","-0.030"
"172","10/24/2019 11:04:20.346 AM","-1.210","-0.031"
"173","10/24/2019 11:04:20.347 AM","-1.210","-0.031"
"174","10/24/2019 11:04:20.348 AM","-1.210","-0.031"
"175","10/24/2019 11:04:20.349 AM","-1.210","-0.030"
"176","10/24/2019 11:04:20.350 AM","-1.210","-0.030"
"177","10/24/2019 11:04:20.351 AM","-1.210","-0.031"
"178","10/24/2019 11:04:20.352 AM","-1.210","-0.030"
"179","10/24/2019 11:04:20.353 AM","-1.210","-0.031"
"180","10/24/2019 11:04:20.354 AM","-1.209","-0.031"
"181","10/24/2019 11:04:20.355 AM","-1.209","-0.031"
"182","10/24/2019 11:04:20.356 AM","-1.209","-0.031"
"183","10/24/2019 11:04:20.357 AM","-1.209","-0.031"
"184","10/24/2019 11:04:20.358 AM","-1.209","-0.031"
"185","10/24/2019 11:04:20.359 AM","-1.209","-0.031"
"186","10/24/2019 11:04:20.360 AM","-1.209","-0.030"
"187","10/24/2019 11:04:20.361 AM","-1.210","-0.031"
"188","10/24/2019 11:04:20.362 AM","-1.210","-0.031"
"189","10/24/2019 11:04:20.363 AM","-1.209","-0.031"
"190","10/24/2019 11:04:20.364 AM","-1.210","-0.031"
"191","10/24/2019 11:04:20.365 AM","-1.210","-0.031"
"192","10/24/2019 11:04:20.366 AM","-1.210","-0.031"
"193","10/24/2019 11:04:20.367 AM","-1.210","-0.031"
"194","10/24/2019 11:04:20.368 AM","-1.210","-0.031"
"195","10/24/2019 11:04:20.369 AM","-1.209","-0.031"
"196","10/24/2019 11:04:20.370 AM","-1.209","-0.031"
"197","10/24/2019 11:04:20.371 AM","-1.210","-0.031"
"198","10/24/2019 11:04:20.372 AM","-1.210","-0.031"
"199","10/24/2019 11:04:20.373 AM","-1.209","-0.031"
"200","10/24/2019 11:04:20.374 AM","-1.210","-0.031"
"201","10/24/2019 11:04:20.375 AM","-1.208","-0.031"
"202","10/24/2019 11:04:20.376 AM","-1.209","-0.032"
"203","10/24/2019 11:04:20.377 AM","-1.209","-0.031"
"204","10/24/2019 11:04:20.378 AM","-1.209","-0.031"
"205","10/24/2019 11:04:20.379 AM","-1.209","-0.031"
"206","10/24/2019 11:04:20.380 AM","-1.209","-0.031"
"207","10/24/2019 11:04:20.381 AM","-1.210","-0.031"
"208","10/24/2019 11:04:20.382 AM","-1.210","-0.031"
"209","10/24/2019 11:04:20.383 AM","-1.209","-0.031"
"210","10/24/2019 11:04:20.384 AM","-1.209","-0.031"
"211","10/24/2019 11:04:20.385 AM","-1.209","-0.030"
